weight,"(2, 2)"
"(0, 0)",1
"(1, -1)",120
"(1, 1)",120
"(2, -4)",120
"(2, -2)",600
"(2, 0)",720
"(2, 2)",600
"(2, 4)",120
"(3, -5)",720
"(3, -3)",1200
"(3, -1)",1440
"(3, 1)",1440
"(3, 3)",1200
"(3, 5)",720
"(4, -8)",600
"(4, -6)",1440
"(4, -4)",2520
"(4, -2)",2400
"(4, 0)",3600
"(4, 2)",2400
"(4, 4)",2520
"(4, 6)",1440
"(4, 8)",600
"(5, -11)",120
"(5, -9)",1440
"(5, -7)",2400
"(5, -5)",3720
"(5, -3)",3600
"(5, -1)",3840
"(5, 1)",3840
"(5, 3)",3600
"(5, 5)",3720
"(5, 7)",2400
"(5, 9)",1440
"(5, 11)",120
"(6, -12)",1200
"(6, -10)",3600
"(6, -8)",3600
"(6, -6)",6000
"(6, -4)",5040
"(6, -2)",7200
"(6, 0)",7200
"(6, 2)",7200
"(6, 4)",5040
"(6, 6)",6000
"(6, 8)",3600
"(6, 10)",3600
"(6, 12)",1200
"(7, -15)",720
"(7, -13)",2400
"(7, -11)",3840
"(7, -9)",5040
"(7, -7)",6000
"(7, -5)",8640
"(7, -3)",7200
"(7, -1)",7440
"(7, 1)",7440
"(7, 3)",7200
"(7, 5)",8640
"(7, 7)",6000
"(7, 9)",5040
"(7, 11)",3840
"(7, 13)",2400
"(7, 15)",720
"(8, -16)",2520
"(8, -14)",3840
"(8, -12)",7200
"(8, -10)",8640
"(8, -8)",10200
"(8, -6)",8640
"(8, -4)",12000
"(8, -2)",9600
"(8, 0)",15120
"(8, 2)",9600
"(8, 4)",12000
"(8, 6)",8640
"(8, 8)",10200
"(8, 10)",8640
"(8, 12)",7200
"(8, 14)",3840
"(8, 16)",2520
"(9, -19)",1440
"(9, -17)",3600
"(9, -15)",7200
"(9, -13)",7200
"(9, -11)",8640
"(9, -9)",10920
"(9, -7)",10800
"(9, -5)",14400
"(9, -3)",14400
"(9, -1)",12240
"(9, 1)",12240
"(9, 3)",14400
"(9, 5)",14400
"(9, 7)",10800
"(9, 9)",10920
"(9, 11)",8640
"(9, 13)",7200
"(9, 15)",7200
"(9, 17)",3600
"(9, 19)",1440
"(10, -22)",600
"(10, -20)",3720
"(10, -18)",7200
"(10, -16)",7440
"(10, -14)",12000
"(10, -12)",10800
"(10, -10)",18600
"(10, -8)",13200
"(10, -6)",18000
"(10, -4)",15960
"(10, -2)",19200
"(10, 0)",18720
"(10, 2)",19200
"(10, 4)",15960
"(10, 6)",18000
"(10, 8)",13200
"(10, 10)",18600
"(10, 12)",10800
"(10, 14)",12000
"(10, 16)",7440
"(10, 18)",7200
"(10, 20)",3720
"(10, 22)",600
"(11, -23)",2400
"(11, -21)",5040
"(11, -19)",7440
"(11, -17)",9600
"(11, -15)",14400
"(11, -13)",13200
"(11, -11)",17280
"(11, -9)",15840
"(11, -7)",16800
"(11, -5)",21600
"(11, -3)",18000
"(11, -1)",18240
"(11, 1)",18240
"(11, 3)",18000
"(11, 5)",21600
"(11, 7)",16800
"(11, 9)",15840
"(11, 11)",17280
"(11, 13)",13200
"(11, 15)",14400
"(11, 17)",9600
"(11, 19)",7440
"(11, 21)",5040
"(11, 23)",2400
"(12, -26)",1440
"(12, -24)",6000
"(12, -22)",7200
"(12, -20)",15120
"(12, -18)",14400
