"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",-1
"(1, 1)",1
"(2, -4)",1
"(2, -2)",10
"(2, 0)",0
"(2, 2)",-10
"(2, 4)",-1
"(3, -5)",0
"(3, -3)",-120
"(3, -1)",108
"(3, 1)",-108
"(3, 3)",120
"(3, 5)",0
"(4, -8)",-10
"(4, -6)",108
"(4, -4)",156
"(4, -2)",140
"(4, 0)",0
"(4, 2)",-140
"(4, 4)",-156
"(4, 6)",-108
"(4, 8)",10
"(5, -11)",-1
"(5, -9)",-108
"(5, -7)",140
"(5, -5)",-625
"(5, -3)",-810
"(5, -1)",728
"(5, 1)",-728
"(5, 3)",810
"(5, 5)",625
"(5, 7)",-140
"(5, 9)",108
"(5, 11)",1
"(6, -12)",120
"(6, -10)",0
"(6, -8)",-810
"(6, -6)",1200
"(6, -4)",1512
"(6, -2)",-1080
"(6, 0)",0
"(6, 2)",1080
"(6, 4)",-1512
"(6, 6)",-1200
"(6, 8)",810
"(6, 10)",0
"(6, 12)",-120
"(7, -15)",0
"(7, -13)",-140
"(7, -11)",728
"(7, -9)",1512
"(7, -7)",-1400
"(7, -5)",0
"(7, -3)",3780
"(7, -1)",-4592
"(7, 1)",4592
"(7, 3)",-3780
"(7, 5)",0
"(7, 7)",1400
"(7, 9)",-1512
"(7, 11)",-728
"(7, 13)",140
"(7, 15)",0
"(8, -16)",-156
"(8, -14)",-728
"(8, -12)",-1080
"(8, -10)",0
"(8, -8)",-4120
"(8, -6)",-432
"(8, -4)",-1400
"(8, -2)",-8840
"(8, 0)",0
"(8, 2)",8840
"(8, 4)",1400
"(8, 6)",432
"(8, 8)",4120
"(8, 10)",0
"(8, 12)",1080
"(8, 14)",728
"(8, 16)",156
"(9, -19)",-108
"(9, -17)",810
"(9, -15)",0
"(9, -13)",3780
"(9, -11)",-432
"(9, -9)",-7839
"(9, -7)",13230
"(9, -5)",0
"(9, -3)",12960
"(9, -1)",-3402
"(9, 1)",3402
"(9, 3)",-12960
"(9, 5)",0
"(9, 7)",-13230
"(9, 9)",7839
"(9, 11)",432
"(9, 13)",-3780
"(9, 15)",0
"(9, 17)",-810
"(9, 19)",108
"(10, -22)",10
"(10, -20)",625
"(10, -18)",1080
"(10, -16)",-4592
"(10, -14)",-1400
"(10, -12)",13230
"(10, -10)",6250
"(10, -8)",-8320
"(10, -6)",8100
"(10, -4)",-2977
"(10, -2)",-7280
"(10, 0)",0
"(10, 2)",7280
"(10, 4)",2977
"(10, 6)",-8100
"(10, 8)",8320
"(10, 10)",-6250
"(10, 12)",-13230
"(10, 14)",1400
"(10, 16)",4592
"(10, 18)",-1080
"(10, 20)",-625
"(10, 22)",-10
"(11, -23)",-140
"(11, -21)",-1512
"(11, -19)",4592
"(11, -17)",-8840
"(11, -15)",0
"(11, -13)",-8320
"(11, -11)",-11664
"(11, -9)",-9828
"(11, -7)",-7420
"(11, -5)",0
"(11, -3)",-10800
"(11, -1)",-27352
"(11, 1)",27352
"(11, 3)",10800
"(11, 5)",0
"(11, 7)",7420
"(11, 9)",9828
"(11, 11)",11664
"(11, 13)",8320
"(11, 15)",0
"(11, 17)",8840
"(11, 19)",-4592
"(11, 21)",1512
"(11, 23)",140
"(12, -26)",108
"(12, -24)",-1200
"(12, -22)",-3780
"(12, -20)",0
"(12, -18)",12960
"(12, -16)",8100
"(12, -14)",-9828
"(12, -12)",18720
"(12, -10)",0
"(12, -8)",-15120
"(12, -6)",16800
"(12, -4)",-16848
"(12, -2)",58860
"(12, 0)",0
"(12, 2)",-58860
"(12, 4)",16848
"(12, 6)",-16800
"(12, 8)",15120
"(12, 10)",0
"(12, 12)",-18720
"(12, 14)",9828
"(12, 16)",-8100
"(12, 18)",-12960
"(12, 20)",0
"(12, 22)",3780
"(12, 24)",1200
"(12, 26)",-108
"(13, -29)",1
"(13, -27)",810
"(13, -25)",0
"(13, -23)",8840
"(13, -21)",-3402
"(13, -19)",-2977
"(13, -17)",-7420
"(13, -15)",0
"(13, -13)",-2690
"(13, -11)",14378
"(13, -9)",50112
"(13, -7)",-5600
"(13, -5)",0
"(13, -3)",15120
"(13, -1)",26308
"(13, 1)",-26308
"(13, 3)",-15120
"(13, 5)",0
"(13, 7)",5600
"(13, 9)",-50112
"(13, 11)",-14378
"(13, 13)",2690
"(13, 15)",0
"(13, 17)",7420
"(13, 19)",2977
"(13, 21)",3402
"(13, 23)",-8840
"(13, 25)",0
"(13, 27)",-810
"(13, 29)",-1
"(14, -30)",0
"(14, -28)",1400
"(14, -26)",1400
"(14, -24)",3402
"(14, -22)",-7280
"(14, -20)",0
"(14, -18)",-15120
"(14, -16)",14378
"(14, -14)",14000
"(14, -12)",-15120
"(14, -10)",0
"(14, -8)",17290
"(14, -6)",-37800
"(14, -4)",-93688
"(14, -2)",45920
"(14, 0)",0
"(14, 2)",-45920
"(14, 4)",93688
"(14, 6)",37800
"(14, 8)",-17290
"(14, 10)",0
"(14, 12)",15120
"(14, 14)",-14000
"(14, 16)",-14378
"(14, 18)",15120
"(14, 20)",0
"(14, 22)",7280
"(14, 24)",-3402
"(14, 26)",-1400
"(14, 28)",-1400
"(14, 30)",0
"(15, -33)",-120
"(15, -31)",-1512
"(15, -29)",432
"(15, -27)",-12960
"(15, -25)",0
"(15, -23)",-10800
"(15, -21)",16800
"(15, -19)",50112
"(15, -17)",-15120
"(15, -15)",-75000
"(15, -13)",-44280
"(15, -11)",62748
"(15, -9)",-97200
"(15, -7)",-45360
"(15, -5)",67500
"(15, -3)",87360
"(15, -1)",-25272
"(15, 1)",25272
"(15, 3)",-87360
"(15, 5)",-67500
"(15, 7)",45360
"(15, 9)",97200
"(15, 11)",-62748
"(15, 13)",44280
"(15, 15)",75000
"(15, 17)",15120
"(15, 19)",-50112
"(15, 21)",-16800
"(15, 23)",10800
"(15, 25)",0
"(15, 27)",12960
"(15, 29)",-432
"(15, 31)",1512
"(15, 33)",120
