numerator,(-x+1)/2
denominator,2
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(-x-3)/2
"(1, 1)",1
"(2, -4)",(3*x+7)/2
"(2, -2)",100*x+300
"(2, 0)",-210*x-210
"(2, 2)",-200
"(2, 4)",(x-3)/2
"(3, -5)",420*x+840
"(3, -3)",450*x+1350
"(3, -1)",348*x+552
"(3, 1)",246*x+42
"(3, 3)",-900
"(3, 5)",210*x-210
"(4, -8)",-300*x-700
"(4, -6)",-390*x-678
"(4, -4)",-11808*x-35424
"(4, -2)",-22650*x-41050
"(4, 0)",42000*x+42000
"(4, 2)",-13450*x+4950
"(4, 4)",23616
"(4, 6)",-246*x+42
"(4, 8)",-100*x+300
"(5, -11)",-4*x-9
"(5, -9)",-798*x-1698
"(5, -7)",17700*x+26200
"(5, -5)",(98275*x+294825)/2
"(5, -3)",-26700*x+43050
"(5, -1)",19812*x+132892
"(5, 1)",-36728*x-149808
"(5, 3)",-61575*x-131325
"(5, 5)",-98275
"(5, 7)",13450*x+4950
"(5, 9)",-348*x+552
"(5, 11)",(-3*x+7)/2
"(6, -12)",-1350*x-3150
"(6, -10)",-84000*x-168000
"(6, -8)",158025*x+350925
"(6, -6)",-90000*x-270000
"(6, -4)",84990*x-154218
"(6, -2)",-69600*x-110400
"(6, 0)",189000*x+189000
"(6, 2)",-49200*x-8400
"(6, 4)",204594*x+443802
"(6, 6)",180000
"(6, 8)",61575*x-131325
"(6, 10)",-42000*x+42000
"(6, 12)",-450*x+1350
"(7, -15)",-1050*x-2310
"(7, -13)",54500*x+118200
"(7, -11)",129996*x+316532
"(7, -9)",-528792*x-1177188
"(7, -7)",-54250*x-162750
"(7, -5)",-60480*x-267120
"(7, -3)",-413250*x+134850
"(7, -1)",-416284*x-2585808
"(7, 1)",668478*x+2838002
"(7, 3)",-687300*x-1235400
"(7, 5)",42840*x+249480
"(7, 7)",108500
"(7, 9)",-204594*x+443802
"(7, 11)",36728*x-149808
"(7, 13)",22650*x-41050
"(7, 15)",-420*x+840
"(8, -16)",35424*x+82656
"(8, -14)",-96164*x-248868
"(8, -12)",78000*x+135600
"(8, -10)",-189000*x-481320
"(8, -8)",723200*x+2169600
"(8, -6)",-2357712*x-3900528
"(8, -4)",4530000*x+8210000
"(8, -2)",1379500*x+552300
"(8, 0)",-4959360*x-4959360
"(8, 2)",1793100*x+2620300
"(8, 4)",2690000*x-990000
"(8, 6)",-1586304*x-43488
"(8, 8)",-1446400
"(8, 10)",-42840*x+249480
"(8, 12)",49200*x-8400
"(8, 14)",-19812*x+132892
"(8, 16)",11808*x-35424
"(9, -19)",924*x+1992
"(9, -17)",18525*x+2175
"(9, -15)",-378000*x-756000
"(9, -13)",1648650*x+3571350
"(9, -11)",2401200*x+4030992
"(9, -9)",(3972969*x+11918907)/2
"(9, -7)",-1801800*x-5099850
"(9, -5)",1785000*x+13083000
"(9, -3)",-313200*x-496800
"(9, -1)",-2109045*x-7242423
"(9, 1)",457644*x+5591022
"(9, 3)",-221400*x-37800
"(9, 5)",-3864000*x-15162000
"(9, 7)",-152775*x+3145275
"(9, 9)",-3972969
"(9, 11)",1586304*x-43488
"(9, 13)",687300*x-1235400
"(9, 15)",-189000*x+189000
"(9, 17)",26700*x+43050
"(9, 19)",390*x-678
"(10, -22)",800*x+1800
"(10, -20)",(-294825*x-687925)/2
"(10, -18)",159600*x+339600
"(10, -16)",-2421718*x-5928198
"(10, -14)",-3540000*x-5240000
"(10, -12)",-1343475*x-4335975
"(10, -10)",-9827500*x-29482500
"(10, -8)",-2734650*x+225350
"(10, -6)",5340000*x-8610000
"(10, -4)",(-12359599*x-47223459)/2
"(10, -2)",-3962400*x-26578400
"(10, 0)",4231500*x+4231500
"(10, 2)",7345600*x+29961600
"(10, 4)",(5072331*x+39936191)/2
"(10, 6)",12315000*x+26265000
"(10, 8)",-4214650*x-7174650
"(10, 10)",19655000
"(10, 12)",152775*x+3145275
"(10, 14)",-2690000*x-990000
"(10, 16)",-668478*x+2838002
"(10, 18)",69600*x-110400
"(10, 20)",(-98275*x+294825)/2
"(10, 22)",300*x-700
"(11, -23)",-39650*x-83550
"(11, -21)",-50376*x+18852
"(11, -19)",1917330*x+4919422
"(11, -17)",-3999800*x-8413200
"(11, -15)",13377000*x+32403000
"(11, -13)",9909300*x+21298600
"(11, -11)",150408*x+451224
"(11, -9)",-4792980*x-9338088
"(11, -7)",-26557650*x-39606350
"(11, -5)",40509000*x+92232000
"(11, -3)",-10935750*x+9741750
"(11, -1)",2273784*x+25766272
"(11, 1)",-9472460*x-32964948
"(11, 3)",-21274500*x-41952000
"(11, 5)",14647500*x-37075500
"(11, 7)",-20033300*x-6984600
"(11, 9)",-2520426*x+2024682
"(11, 11)",-300816
"(11, 13)",4214650*x-7174650
"(11, 15)",3864000*x-15162000
"(11, 17)",-1793100*x+2620300
"(11, 19)",416284*x-2585808
"(11, 21)",-84990*x-154218
"(11, 23)",-17700*x+26200
"(12, -26)",2046*x+4542
"(12, -24)",270000*x+630000
"(12, -22)",552450*x+830850
"(12, -20)",9918720*x+19837440
"(12, -18)",351000*x+610200
"(12, -16)",-31605000*x-70185000
"(12, -14)",2768298*x+3264042
"(12, -12)",10627200*x+31881600
"(12, -10)",39172560*x+70024080
"(12, -8)",-16998000*x+30843600
"(12, -6)",20385000*x+36945000
"(12, -4)",8218368*x+13036032
"(12, -2)",4249350*x-20259450
"(12, 0)",-37800000*x-37800000
"(12, 2)",16503750*x+41012550
"(12, 4)",5809536*x+991872
"(12, 6)",12105000*x-4455000
"(12, 8)",-40918800*x-88760400
"(12, 10)",23746800*x-7104720
"(12, 12)",-21254400
"(12, 14)",2520426*x+2024682
"(12, 16)",-12315000*x+26265000
"(12, 18)",221400*x-37800
"(12, 20)",4959360*x-4959360
"(12, 22)",413250*x+134850
"(12, 24)",90000*x-270000
"(12, 26)",798*x-1698
"(13, -29)",(21*x+47)/2
"(13, -27)",-412500*x-921450
"(13, -25)",224280*x+551880
"(13, -23)",-2345400*x-4277200
"(13, -21)",-3481977*x-9530643
"(13, -19)",-13788296*x-36292557
"(13, -17)",33542250*x+60560150
"(13, -15)",-32067840*x-48709920
"(13, -13)",16200275*x+48600825
"(13, -11)",-3915132*x-60167458
"(13, -9)",-50931984*x-161683248
