numerator,(17711*x-39603)/2
denominator,16560
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(-701408733*x-1568397607)/2
"(1, 1)",1
"(2, -4)",(1100087778366101931*x+2459871053643326447)/2
"(2, -2)",1289357589349920*x+2883091217091680
"(2, 0)",-1278144845820*x-2858018756700
"(2, 2)",-3676480
"(2, 4)",(701408733*x-1568397607)/2
"(3, -5)",2004639316305327106920*x+4482509781627413973600
"(3, -3)",47669146919416264860*x+106591452941239457940
"(3, -1)",-441019257880703976*x-986149040004622212
"(3, 1)",-1101813785604018*x-2463729265632678
"(3, 3)",-135924018840
"(3, 5)",1278144845820*x-2858018756700
"(4, -8)",-2022225357703703213641440*x-4521833365649308407933280
"(4, -6)",1728081663681695000080950*x+3864108070663199520823758
"(4, -4)",93974206002819672397824*x+210132712753873581213696
"(4, -2)",565541066874757854270*x+1264588269599286432470
"(4, 0)",4699073962760313600*x+10507448798632416000
"(4, 2)",149636519324985690*x+334595816540800130
"(4, 4)",-267958471520256
"(4, 6)",1101813785604018*x-2463729265632678
"(4, 8)",-1289357589349920*x+2883091217091680
"(5, -11)",-862687519539670318898535192*x-1929027937031380914713107361
"(5, -9)",691693548699910193648181414*x+1546673794491060475505479362
"(5, -7)",-234688993288049936747389560*x-524780542563071541043721380
"(5, -5)",(-27195370600289849493352125*x-60810697335547365435730375)/2
"(5, -3)",2256215329426954905698040*x+5045050848475771402733670
"(5, -1)",96609328254869950676436*x+216025025240227232140508
"(5, 1)",-612643395320170283856*x-1369912553374448193208
"(5, 3)",-6522697669805274915*x-14591628768850705545
"(5, 5)",38772500712918625
"(5, 7)",-149636519324985690*x+334595816540800130
"(5, 9)",441019257880703976*x-986149040004622212
"(5, 11)",(-1100087778366101931*x+2459871053643326447)/2
"(6, -12)",-74764175956143891643302190020*x-167177779719693077311149130740
"(6, -10)",-7370016353610209002049241600*x-16479857561957554925660928000
"(6, -8)",10232439631836496287568826445*x+22880430592449326945636897145
"(6, -6)",-175254665266295509432492800*x-391881344909408042327251200
"(6, -4)",-89046779322631846477965300*x-199114651742828423889613188
"(6, -2)",1621398481213250553684480*x+3625557222596193469973760
"(6, 0)",173730584103486575248800*x+388473395330764176228000
"(6, 2)",4050796346497460096640*x+9057851370513228013440
"(6, 4)",328839384181653066852*x+735561125094380008308
"(6, 6)",499721936784883200
"(6, 8)",6522697669805274915*x-14591628768850705545
"(6, 10)",-4699073962760313600*x+10507448798632416000
"(6, 12)",-47669146919416264860*x+106591452941239457940
"(7, -15)",-3144071506591391114567416294620*x-7030357614858528638934582418500
"(7, -13)",-886993255946447550822197746200*x-1983377215880126285410055899420
"(7, -11)",960868531773838326902211809028*x+2148567354486719080945668712748
"(7, -9)",-515839950017180955201365788464*x-1153453193748510425755017705768
"(7, -7)",23281139739651134692984279500*x+52058211051531693243561630500
"(7, -5)",6298007328011216929948126560*x+14082772508224901027363966400
"(7, -3)",-1387769223961176246912433050*x-3103146321858780932158073310
"(7, -1)",1552515376047507791492328*x+3471529897530771026677328
"(7, 1)",6812469202077784180876836*x+15233144226042827706074012
"(7, 3)",-189074006573989039747560*x-422778374386306302279540
"(7, 5)",-1603282614835820714640*x-3603007080194461081200
"(7, 7)",-66383946034076923000
"(7, 9)",-328839384181653066852*x+735561125094380008308
"(7, 11)",612643395320170283856*x-1369912553374448193208
"(7, 13)",-565541066874757854270*x+1264588269599286432470
"(7, 15)",-2004639316305327106920*x+4482509781627413973600
"(8, -16)",-147388919814547409441271113607168*x-329571643835593704488122490505216
"(8, -14)",-151521839249428160132450423972508*x-338813132637517078472031786771148
"(8, -12)",-6353257674892478033897611056000*x-14206316039631839774318129811840
"(8, -10)",2520882623781215123652353993040*x+5636864910072824953381348722000
"(8, -8)",-708416186319222763796128727040*x-1584066748970938633633714012160
"(8, -6)",2853460820074508680536552024*x+6380532364818783474460883448
"(8, -4)",-2079200421543709756066569600*x-4649233481416384583247305600
"(8, -2)",7829670531624454873052209500*x+17507675550272177064960162380
"(8, 0)",342489739267420466126929920*x+765830337621554411985715200
"(8, 2)",-46636337355396012283699020*x-104282042873835842947803580
"(8, 4)",-550135670567923389571200*x-1230134827595920861942400
"(8, 6)",40142415654776575127592*x+89753033814180881509512
"(8, 8)",2019981083751983349760
"(8, 10)",1603282614835820714640*x-3603007080194461081200
"(8, 12)",-4050796346497460096640*x+9057851370513228013440
"(8, 14)",-96609328254869950676436*x+216025025240227232140508
"(8, 16)",-93974206002819672397824*x+210132712753873581213696
"(9, -19)",-2710319146018949246729013000682632*x-6060457851217549028959799450314428
"(9, -17)",-3538642723549959278091386405865195*x-7912645677942704873897752435622145
"(9, -15)",-272478632196890000873356774372800*x-609280744008408902808085662624000
"(9, -13)",296541831687322717208054075655870*x+663087693825154756845181339134090
