numerator,-x+2
denominator,11520
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",-4*x-9
"(1, 1)",1
"(2, -4)",72*x+161
"(2, -2)",-40*x-90
"(2, 0)",60*x+120
"(2, 2)",10
"(2, 4)",4*x-9
"(3, -5)",-1020*x-2280
"(3, -3)",720*x+1620
"(3, -1)",-516*x-1128
"(3, 1)",-132*x-168
"(3, 3)",-180
"(3, 5)",-60*x+120
"(4, -8)",720*x+1610
"(4, -6)",1860*x+4152
"(4, -4)",3696*x+8316
"(4, -2)",-2340*x-5560
"(4, 0)",600*x+1200
"(4, 2)",1180*x+3240
"(4, 4)",-924
"(4, 6)",132*x-168
"(4, 8)",40*x-90
"(5, -11)",-1292*x-2889
"(5, -9)",9156*x+20472
"(5, -7)",-23580*x-52760
"(5, -5)",1900*x+4275
"(5, -3)",-7620*x-16590
"(5, -1)",3816*x+8272
"(5, 1)",1256*x+1872
"(5, 3)",-2220*x-3090
"(5, 5)",-475
"(5, 7)",-1180*x+3240
"(5, 9)",516*x-1128
"(5, 11)",-72*x+161
"(6, -12)",-12960*x-28980
"(6, -10)",-10200*x-22800
"(6, -8)",32340*x+72210
"(6, -6)",7200*x+16200
"(6, -4)",26040*x+59052
"(6, -2)",-5160*x-11280
"(6, 0)",-10800*x-21600
"(6, 2)",-1320*x-1680
"(6, 4)",-1848*x-10668
"(6, 6)",-1800
"(6, 8)",2220*x-3090
"(6, 10)",-600*x+1200
"(6, 12)",-720*x+1620
"(7, -15)",18300*x+40920
"(7, -13)",43300*x+96840
"(7, -11)",-18792*x-41968
"(7, -9)",59304*x+132972
"(7, -7)",-64400*x-144900
"(7, -5)",-25920*x-59760
"(7, -3)",-3300*x-13080
"(7, -1)",33028*x+76032
"(7, 1)",-6876*x-23728
"(7, 3)",22620*x+51720
"(7, 5)",5760*x+19440
"(7, 7)",16100
"(7, 9)",1848*x-10668
"(7, 11)",-1256*x+1872
"(7, 13)",2340*x-5560
"(7, 15)",1020*x-2280
"(8, -16)",-66528*x-148764
"(8, -14)",-67432*x-150768
"(8, -12)",18600*x+41520
"(8, -10)",-129600*x-290160
"(8, -8)",77920*x+175320
"(8, -6)",-97776*x-214128
"(8, -4)",-23400*x-55600
"(8, -2)",61400*x+146160
"(8, 0)",-55440*x-110880
"(8, 2)",-32040*x-87440
"(8, 4)",11800*x+32400
"(8, 6)",-23472*x-28368
"(8, 8)",-19480
"(8, 10)",-5760*x+19440
"(8, 12)",1320*x-1680
"(8, 14)",-3816*x+8272
"(8, 16)",-3696*x+8316
"(9, -19)",-33348*x-74568
"(9, -17)",134940*x+301710
"(9, -15)",183600*x+410400
"(9, -13)",-410460*x-917880
"(9, -11)",324720*x+724752
"(9, -9)",106596*x+239841
"(9, -7)",-166680*x-362970
"(9, -5)",336000*x+742800
"(9, -3)",92880*x+203040
"(9, -1)",-125940*x-274998
"(9, 1)",-33468*x-43818
"(9, 3)",23760*x+30240
"(9, 5)",52800*x+34800
"(9, 7)",-48240*x-66870
"(9, 9)",-26649
"(9, 11)",23472*x-28368
"(9, 13)",-22620*x+51720
"(9, 15)",10800*x-21600
"(9, 17)",7620*x-16590
"(9, 19)",-1860*x+4152
"(10, -22)",-12920*x-28890
"(10, -20)",-34200*x-76475
"(10, -18)",91560*x+204720
"(10, -16)",156796*x+351072
"(10, -14)",-235800*x-527600
"(10, -12)",701640*x+1566630
"(10, -10)",19000*x+42750
"(10, -8)",-221940*x-510280
"(10, -6)",-76200*x-165900
"(10, -4)",-213136*x-482517
"(10, -2)",38160*x+82720
"(10, 0)",159000*x+318000
"(10, 2)",12560*x+18720
"(10, 4)",11844*x+79933
"(10, 6)",-22200*x-30900
"(10, 8)",43660*x+153720
"(10, 10)",-4750
"(10, 12)",48240*x-66870
"(10, 14)",-11800*x+32400
"(10, 16)",6876*x-23728
"(10, 18)",5160*x-11280
"(10, 20)",-1900*x+4275
"(10, 22)",-720*x+1610
"(11, -23)",423260*x+946440
"(11, -21)",-470568*x-1052268
"(11, -19)",-601380*x-1344848
"(11, -17)",638120*x+1427760
"(11, -15)",-614400*x-1369200
"(11, -13)",-1007820*x-2256680
"(11, -11)",235584*x+530064
"(11, -9)",-323220*x-719448
"(11, -7)",-49140*x-100520
"(11, -5)",-451800*x-1036800
"(11, -3)",476700*x+1012800
"(11, -1)",-209448*x-387968
"(11, 1)",-333160*x-697248
"(11, 3)",239100*x+418800
"(11, 5)",81000*x+295200
"(11, 7)",-40180*x-78120
"(11, 9)",-31188*x+10632
"(11, 11)",-58896
"(11, 13)",-43660*x+153720
"(11, 15)",-52800*x+34800
"(11, 17)",32040*x-87440
"(11, 19)",-33028*x+76032
"(11, 21)",-26040*x+59052
"(11, 23)",23580*x-52760
"(12, -26)",-164292*x-367368
"(12, -24)",-129600*x-289800
"(12, -22)",82020*x+183720
"(12, -20)",942480*x+2106720
"(12, -18)",-334800*x-747360
