numerator,x-2
denominator,32
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",4*x+9
"(1, 1)",1
"(2, -4)",72*x+161
"(2, -2)",-1760*x-3960
"(2, 0)",-420*x-1050
"(2, 2)",-440
"(2, 4)",-4*x+9
"(3, -5)",-7980*x-17850
"(3, -3)",24120*x+54270
"(3, -1)",-36564*x-81552
"(3, 1)",2868*x-2688
"(3, 3)",6030
"(3, 5)",420*x-1050
"(4, -8)",-31680*x-70840
"(4, -6)",15060*x+33168
"(4, -4)",512256*x+1152576
"(4, -2)",-76860*x-175840
"(4, 0)",184800*x+462000
"(4, 2)",-11620*x-45360
"(4, 4)",128064
"(4, 6)",-2868*x-2688
"(4, 8)",1760*x-3960
"(5, -11)",1292*x+2889
"(5, -9)",-655284*x-1465248
"(5, -7)",-286020*x-640640
"(5, -5)",-680500*x-1531125
"(5, -3)",-1196220*x-2599590
"(5, -1)",-1997856*x-4421312
"(5, 1)",295456*x+165312
"(5, 3)",367620*x+528090
"(5, 5)",-170125
"(5, 7)",11620*x-45360
"(5, 9)",36564*x-81552
"(5, 11)",-72*x+161
"(6, -12)",434160*x+970830
"(6, -10)",3511200*x+7854000
"(6, -8)",5420940*x+12105210
"(6, -6)",-10612800*x-23878800
"(6, -4)",-605640*x-1566978
"(6, -2)",16088160*x+35882880
"(6, 0)",-2532600*x-6331500
"(6, 2)",-1261920*x+1182720
"(6, 4)",-817152*x-1990002
"(6, 6)",-2653200
"(6, 8)",-367620*x+528090
"(6, 10)",-184800*x+462000
"(6, 12)",-24120*x+54270
"(7, -15)",-143220*x-320250
"(7, -13)",-1395100*x-3119760
"(7, -11)",3320352*x+7396928
"(7, -9)",-15314376*x-34253058
"(7, -7)",24999800*x+56249550
"(7, -5)",-1882440*x-3200400
"(7, -3)",21380100*x+47559120
"(7, -1)",-22696828*x-50549562
"(7, 1)",2073204*x-1009498
"(7, 3)",-2184420*x+430080
"(7, 5)",4140360*x+8845200
"(7, 7)",6249950
"(7, 9)",817152*x-1990002
"(7, 11)",-295456*x+165312
"(7, 13)",76860*x-175840
"(7, 15)",7980*x-17850
"(8, -16)",9220608*x+20618304
"(8, -14)",-35665952*x-79748928
"(8, -12)",-6626400*x-14593920
"(8, -10)",72644040*x+162414000
"(8, -8)",-110049280*x-247610880
"(8, -6)",3008376*x+8567568
"(8, -4)",33818400*x+77369600
"(8, -2)",20496400*x+51337440
"(8, 0)",-53786880*x-134467200
"(8, 2)",20882160*x+52108960
"(8, 4)",5112800*x+19958400
"(8, 6)",7194888*x+16940592
"(8, 8)",-27512320
"(8, 10)",-4140360*x+8845200
"(8, 12)",1261920*x+1182720
"(8, 14)",1997856*x-4421312
"(8, 16)",-512256*x+1152576
"(9, -19)",268212*x+599712
"(9, -17)",-21164340*x-47320710
"(9, -15)",-48119400*x-107635500
"(9, -13)",-17939460*x-39817680
"(9, -11)",132516360*x+296363088
"(9, -9)",-26743284*x-60172389
"(9, -7)",-241645320*x-541636830
"(9, -5)",31252200*x+72030000
"(9, -3)",-220480920*x-491758560
"(9, -1)",-4795980*x-25142502
"(9, 1)",-57406188*x-130362918
"(9, 3)",17294040*x-16208640
"(9, 5)",6850200*x+23226000
"(9, 7)",8260560*x-41825070
"(9, 9)",-6685821
"(9, 11)",-7194888*x+16940592
"(9, 13)",2184420*x+430080
"(9, 15)",2532600*x-6331500
"(9, 17)",1196220*x-2599590
"(9, 19)",-15060*x+33168
"(10, -22)",-568480*x-1271160
"(10, -20)",-12249000*x-27390125
"(10, -18)",288324960*x+644709120
"(10, -16)",14620844*x+32378598
"(10, -14)",125848800*x+281881600
"(10, -12)",-92955240*x-211214430
"(10, -10)",299420000*x+673695000
"(10, -8)",441827460*x+971240870
"(10, -6)",526336800*x+1143819600
"(10, -4)",-358134896*x-747400527
"(10, -2)",879056640*x+1945377280
"(10, 0)",235515000*x+588787500
"(10, 2)",-130000640*x-72737280
"(10, 4)",233611956*x+436093177
"(10, 6)",-161752800*x-232359600
"(10, 8)",-91483660*x-95381370
"(10, 10)",74855000
"(10, 12)",-8260560*x-41825070
"(10, 14)",-5112800*x+19958400
"(10, 16)",-2073204*x-1009498
"(10, 18)",-16088160*x+35882880
"(10, 20)",680500*x-1531125
"(10, 22)",31680*x-70840
"(11, -23)",-5136740*x-11486160
"(11, -21)",-11718672*x-26215602
"(11, -19)",-406469700*x-908882618
"(11, -17)",396375280*x+886623840
"(11, -15)",154555800*x+346038000
"(11, -13)",-1204878420*x-2688105530
"(11, -11)",-135607104*x-305115984
"(11, -9)",-1686029100*x-3764671008
"(11, -7)",1235353140*x+2774991520
"(11, -5)",-607798800*x-1326496500
"(11, -3)",83338500*x+56857350
"(11, -1)",-723479832*x-1610146832
"(11, 1)",70731160*x-21724848
"(11, 3)",-522617100*x-1155053850
"(11, 5)",164203200*x+217507500
"(11, 7)",-18212180*x+267860880
"(11, 9)",115577868*x-161457072
"(11, 11)",-33901776
"(11, 13)",91483660*x-95381370
"(11, 15)",-6850200*x+23226000
"(11, 17)",-20882160*x+52108960
"(11, 19)",22696828*x-50549562
"(11, 21)",605640*x-1566978
"(11, 23)",286020*x-640640
"(12, -26)",-11758548*x-26292912
"(12, -24)",-191030400*x-427165200
"(12, -22)",382657380*x+855634080
