numerator,1
denominator,3840
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(-4682145148601847709091*x-10469594832792275280211)/2
"(1, 1)",(4682145148601847709091*x-10469594832792275280211)/2
"(2, -4)",21215270462228276664568734885940991*x+47438786914585811097094098518800322
"(2, -2)",-2741395020504537198309286329280*x-6129945619026222137175528658880
"(2, 0)",231723926821233544880042820
"(2, 2)",2741395020504537198309286329280*x-6129945619026222137175528658880
"(2, 4)",-21215270462228276664568734885940991*x+47438786914585811097094098518800322
"(3, -5)",-469558360050728348987760105953146032210*x-1049964412476750186913753746434909602230
"(3, -3)",5367356421695059006151672291741506590*x+12001773818377530184613684584411995390
"(3, -1)",828216565717334367377668577335002*x+1851592150032483642467507109070254
"(3, 1)",-828216565717334367377668577335002*x+1851592150032483642467507109070254
"(3, 3)",-5367356421695059006151672291741506590*x+12001773818377530184613684584411995390
"(3, 5)",469558360050728348987760105953146032210*x-1049964412476750186913753746434909602230
"(4, -8)",24843072975290733380458508744769512173362560*x+55550799942738033077079731441048514468619520
"(4, -6)",722179954194642396804886785581589156958416*x+1614843469566904788521257047981243148992924
"(4, -4)",-51667185891266361891158424322863101042688*x-115531339858964145540517438566814368718848
"(4, -2)",156251609130696014978293426401579048560*x+349388567177996995441373032587832610180
"(4, 0)",10293906135338404839988267587031411200
"(4, 2)",-156251609130696014978293426401579048560*x+349388567177996995441373032587832610180
"(4, 4)",51667185891266361891158424322863101042688*x-115531339858964145540517438566814368718848
"(4, 6)",-722179954194642396804886785581589156958416*x+1614843469566904788521257047981243148992924
"(4, 8)",-24843072975290733380458508744769512173362560*x+55550799942738033077079731441048514468619520
"(5, -11)",(-384514094715707459768313401588255355747435704455*x-859799654091114552350953117147687783884027080921)/2
"(5, -9)",-7504742894420929618709261274557045048680250190*x-16781115265583725851798138902491172336882060886
"(5, -7)",1322068412427194137736073436728637578612162550*x+2956234841092433825755797594842801900449176130
"(5, -5)",(-112749645837899244594491830626033324951118975*x-252115872532513303853675519404553468685140975)/2
"(5, -3)",3773792816406397451868324641452767238747425*x+8438457212281047149327909574496675649327895
"(5, -1)",-54279730594586261404591167250032534391100*x-120021012398069716111780293853808285899916
"(5, 1)",54279730594586261404591167250032534391100*x-120021012398069716111780293853808285899916
"(5, 3)",-3773792816406397451868324641452767238747425*x+8438457212281047149327909574496675649327895
"(5, 5)",(112749645837899244594491830626033324951118975*x-252115872532513303853675519404553468685140975)/2
"(5, 7)",-1322068412427194137736073436728637578612162550*x+2956234841092433825755797594842801900449176130
"(5, 9)",7504742894420929618709261274557045048680250190*x-16781115265583725851798138902491172336882060886
"(5, 11)",(384514094715707459768313401588255355747435704455*x-859799654091114552350953117147687783884027080921)/2
"(6, -12)",-48640063278449003862007087738144715405273443875180*x-108762487920503254222642399968954514466732168683560
"(6, -10)",-20859260196960878737382872665063726187659643833600*x-46642723760760176987601073220394623385304977196800
"(6, -8)",117942909470738549288983774791666168999043308390*x+263728363040675137660186168799874753716735418720
"(6, -6)",-74879887950676869143887720183985943417687225600*x-167436519605243946306743492250168354750418617600
"(6, -4)",1707392754538514984660331294481532229771367716*x+3817846347301311502684393616777657881146455904
"(6, -2)",-100649567654253388195657445992187637983911680*x-225063016398030782450444323088240436190383360
