numerator,(-2178309*x+4870847)/2
denominator,475200
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",(10610209857723*x+23725150497407)/2
"(1, 1)",1
"(2, -4)",(251728825683549488150424261*x+562882766124611619513723647)/2
"(2, -2)",-7439824827960896058240*x-16635954056011241676160
"(2, 0)",-106019953423010865*x-237067822825233795
"(2, 2)",-1402389760
"(2, 4)",(-10610209857723*x+23725150497407)/2
"(3, -5)",-2515339350689119215987738337920*x-5624469774621053051652491035770
"(3, -3)",41516323489636368742379245095*x+92833321498698206232308399355
"(3, -1)",-8436305023948732360800384*x-18864151512472356770156148
"(3, 1)",415430694481331436642*x+928931271209979859962
"(3, 3)",7825730884939530
"(3, 5)",106019953423010865*x-237067822825233795
"(4, -8)",-176510963717717401317698161640983680*x-394690513646815109591531111011327360
"(4, -6)",9856155739375590959973839844986910*x+22039034230068522005792253274274682
"(4, -4)",-381014117472606707840350829838336*x-851973467055838964216446661197824
"(4, -2)",2901501200241982287125295621810*x+6487953920538301647336436984310
"(4, 0)",148681297036107385444742400*x+332461487155602143713939200
"(4, 2)",501601331646059712839730*x+1121615222091266487995510
"(4, 4)",-71820279255885348864
"(4, 6)",-415430694481331436642*x+928931271209979859962
"(4, 8)",7439824827960896058240*x-16635954056011241676160
"(5, -11)",2986152136938872067784669198846010266752*x+6677239169351578707225356193679818792961
"(5, -9)",-200152606335214440201679653364905167646*x-447554833639294547518738969905238968198
"(5, -7)",11900569984503727408133430919267201920*x+26610483456343953354115616734445658260
"(5, -5)",(-1134655317102035778260364704502003675*x-2537166420071731681739755434534860575)/2
"(5, -3)",14565991435146132024614820527134080*x+32570547008666470572968875227845790
"(5, -1)",-92925598052503616183182773696336*x-207787954095220098046192630524688
"(5, 1)",314152520688794409497527217664*x+702466391545537094606119265312
"(5, 3)",229127362014933335751602805*x+512347102626265493434183665
"(5, 5)",-106939950511547944592225
"(5, 7)",-501601331646059712839730*x+1121615222091266487995510
"(5, 9)",8436305023948732360800384*x-18864151512472356770156148
"(5, 11)",(-251728825683549488150424261*x+562882766124611619513723647)/2
"(6, -12)",984981022890656211877816213806272414968665*x+2202484523730783694295430280525371363032955
"(6, -10)",3527486148331469731920432530658427699200*x+7887698817358072680054204507055641715200
"(6, -8)",5436095712869584534601109640063773560715*x+12155479546171569381102289903416516410865
"(6, -6)",-58222066934713509647896731357758227200*x-130188499456562217750557480417442604800
"(6, -4)",7757350958503235762169131691939610665*x+17345964068536385419163921923860787947
"(6, -2)",11830987777822257027767083925667840*x+26454892912179745417533655556244480
"(6, 0)",-829683623922306569337576057993450*x-1855228982908804575631016687416350
"(6, 2)",-582595751930307717912829585920*x-1302723702488658565416942789120
"(6, 4)",34981119549654930333435609513*x+78221623484775921800841637227
"(6, 6)",-10974724857554935091212800
"(6, 8)",-229127362014933335751602805*x+512347102626265493434183665
"(6, 10)",-148681297036107385444742400*x+332461487155602143713939200
"(6, 12)",-41516323489636368742379245095*x+92833321498698206232308399355
"(7, -15)",-59676804647149357175414211988695698026762575*x-133441391871001313993347232723541401304014595
"(7, -13)",68838552644148073568655992245563500570486400*x+153927683185012983080377460192886241066688660
"(7, -11)",7453315832388487944688915096914387582900912*x+16666120858996087773680560202209154831570672
"(7, -9)",829940083234307905471281952532250110643456*x+1855802443363745997419755740725471437382442
"(7, -7)",14749017168225472366285964532435064375875*x+32979804989463607486791558991023473270375
"(7, -5)",-196970500382324450355365630817984203520*x-440439428417025786851372540432135392440
"(7, -3)",26107379592801824824231178608050767850*x+58377875483895659549136570087900341730
"(7, -1)",-4252571961106396431676872876992419968*x-9509039984243493029489633279661475138
"(7, 1)",6210419073132587296868200278616101*x+13886919215484103021068608828548577
"(7, 3)",168617973070341884839865297857920*x+377041254934694008323603882933180
"(7, 5)",168603773466963632855775229260*x+376972370251688011484115760860
"(7, 7)",2780155598428602526264627250
"(7, 9)",-34981119549654930333435609513*x+78221623484775921800841637227
"(7, 11)",-314152520688794409497527217664*x+702466391545537094606119265312
"(7, 13)",-2901501200241982287125295621810*x+6487953920538301647336436984310
"(7, 15)",2515339350689119215987738337920*x-5624469774621053051652491035770
"(8, -16)",-9039617278674304164215384217284382567797194752*x-20213198725697404129723521106107359224140693504
"(8, -14)",-2204673798857198805837584309395610468846183088*x-4929800482457394694268161942492433880712749328
"(8, -12)",-13822171881865557556215882866489629918041600*x-30907315924537579359257716679169285464056320
"(8, -10)",3999952929434047058479820042739660476325300*x+8944166657013948621230599144587629397482460
"(8, -8)",1083292474977520102652797152950593750302720*x+2422315613563724913607029607030681218580480
"(8, -6)",-374183680228801611563246249527513392858444*x-836700145062644464645394737770359692568868
"(8, -4)",-4069035571847065481565894416999176665600*x-9098640141514767918015750501681624665600
"(8, -2)",-1417773073266215290754507052282164537400*x-3170236968492047085300468575374013195560
"(8, 0)",7614382661536598112523501155787407360*x+17026277237893041945192696735937658880
"(8, 2)",510394870295977472139918016939605960*x+1141277625081746891878192267498894040
"(8, 4)",-703440571102798085634977873164800*x-1572941702120917908196066149977600
"(8, 6)",-36122234154698315148047259556428*x-80842303826715109370822103555108
"(8, 8)",204198124166037874582780641280
"(8, 10)",-168603773466963632855775229260*x+376972370251688011484115760860
"(8, 12)",582595751930307717912829585920*x-1302723702488658565416942789120
"(8, 14)",92925598052503616183182773696336*x-207787954095220098046192630524688
"(8, 16)",381014117472606707840350829838336*x-851973467055838964216446661197824
"(9, -19)",233838778242567659719617918610568249080572505728*x+522879403925880094141415402176334024839466889612
"(9, -17)",345580338942783355985751528558934085387932933365*x+772741129563481390253523291298028599582156682865
"(9, -15)",-19684368842791583711466058653368332121905977600*x-44015586826660852350269064307777502623516988100
"(9, -13)",4000486813768961492909900908247887507665181290*x+8945360458678939560984433712254401987243922530
"(9, -11)",-857379625303021657432281529159458511777040640*x-1917159124700855152159397042235210269543036088
