weight,"(3, 79)"
"(0, 0)",0
"(1, -1)",0
"(1, 1)",0
"(2, -4)",0
"(2, -2)","(3269515630780436577363288477669019086474805866801, 1462171840784631611850548361275302221304407383323)"
"(2, 0)","(0, -1917491963850372611682678715357177996106846)"
"(2, 2)","(-3269515630780436577363288477669019086474805866801, 1462171840784631611850548361275302221304407383323)"
"(2, 4)",0
"(3, -5)","(16377560710707664529180946735110049289103232029645655040305, 7324267810954421151537538246740465838988103771558573738361)"
"(3, -3)","(-16165956859990795743476305644343597042099226094293881557, -7229635692053692016873481838333240662874528060786659111)"
"(3, -1)","(5824368347583885682997300425875148725548905108987050, 2604788980988267595248079806013944483163581091572750)"
"(3, 1)","(-5824368347583885682997300425875148725548905108987050, 2604788980988267595248079806013944483163581091572750)"
"(3, 3)","(16165956859990795743476305644343597042099226094293881557, -7229635692053692016873481838333240662874528060786659111)"
"(3, 5)","(-16377560710707664529180946735110049289103232029645655040305, 7324267810954421151537538246740465838988103771558573738361)"
"(4, -8)","(-24977218724663324370097765265435113570434252293504308345889103606, -11170151791445559258776864015771387399366550203723083302884150984)"
"(4, -6)","(-446451606264139816221673399304158097015013772753058120538760950, -199659228054117511852018280208677900396896861790717588344282450)"
"(4, -4)","(706394643214583733537475419594896043653283562418188238951400, 315909288233903875340113141695575970438619533439799988542200)"
"(4, -2)","(-9542125372574719039956725005468723469503998729110954242446, -4267368036895700860723986554000692116994365020651926664126)"
"(4, 0)","(0, -2535644409797024533259180504481646604963953736691282880)"
"(4, 2)","(9542125372574719039956725005468723469503998729110954242446, -4267368036895700860723986554000692116994365020651926664126)"
"(4, 4)","(-706394643214583733537475419594896043653283562418188238951400, 315909288233903875340113141695575970438619533439799988542200)"
"(4, 6)","(446451606264139816221673399304158097015013772753058120538760950, -199659228054117511852018280208677900396896861790717588344282450)"
"(4, 8)","(24977218724663324370097765265435113570434252293504308345889103606, -11170151791445559258776864015771387399366550203723083302884150984)"
"(5, -11)",0
"(5, -9)","(-44495270327362822640899061508429719455038501800583887479615228410300, -19898889825842518443240348107757362213483341718996282532887765426800)"
"(5, -7)","(-1363889810907835845410093994677569542400689010117120711511470820256, -609950066201851021364684117389473320083942220188187238135197461820)"
"(5, -5)","(14260606167035024393879243473340334603550475955710073342958456200, 6377536957968605352642086231397436945622709393860492109616272600)"
"(5, -3)","(77908842117589807221190015263582768324991762161343357679692704, 34841893293857524481314714673096822912273289303154100152628720)"
"(5, -1)","(405496511507873678427701303297615316878282236252840895046900, 181862413486400352747575423906833847056816375407875710099300)"
"(5, 1)","(-405496511507873678427701303297615316878282236252840895046900, 181862413486400352747575423906833847056816375407875710099300)"
"(5, 3)","(-77908842117589807221190015263582768324991762161343357679692704, 34841893293857524481314714673096822912273289303154100152628720)"
"(5, 5)","(-14260606167035024393879243473340334603550475955710073342958456200, 6377536957968605352642086231397436945622709393860492109616272600)"
"(5, 7)","(1363889810907835845410093994677569542400689010117120711511470820256, -609950066201851021364684117389473320083942220188187238135197461820)"
"(5, 9)","(44495270327362822640899061508429719455038501800583887479615228410300, -19898889825842518443240348107757362213483341718996282532887765426800)"
"(5, 11)",0
"(6, -12)","(123498611410240846429191039707545548156833858548878308049856346116668942, 55230258048025940012273533148590524058969441082483339591484068132243688)"
"(6, -10)","(21657285164746482710936376704866112588441870588400389958049035965690400, 9685432367294173458168904994189692436865751017607104100886298173922080)"
"(6, -8)","(946258597967228108946472145724522889097658818957316002933897745367464, 423179709869673273454407844160510653985573481792869290419672866274344)"
"(6, -6)","(-26780648650080339126235589720063803669383993360209057513019958312800, -11976670172623520275697947202509216316499428043865888940778055514400)"
"(6, -4)","(-604356831733167790244584306470753922835050490322416538138605692650, -270276591657153660626037268372402863675859663084048659213227422100)"
"(6, -2)","(135066403056919644269845520760722515695923953946266192579734012, 60397926867602691257844218935386883122111946888121356911774508)"
"(6, 0)","(0, -31160629147630486909028331031086947158406944553097788828025840)"
"(6, 2)","(-135066403056919644269845520760722515695923953946266192579734012, 60397926867602691257844218935386883122111946888121356911774508)"
"(6, 4)","(604356831733167790244584306470753922835050490322416538138605692650, -270276591657153660626037268372402863675859663084048659213227422100)"
"(6, 6)","(26780648650080339126235589720063803669383993360209057513019958312800, -11976670172623520275697947202509216316499428043865888940778055514400)"
"(6, 8)","(-946258597967228108946472145724522889097658818957316002933897745367464, 423179709869673273454407844160510653985573481792869290419672866274344)"
"(6, 10)","(-21657285164746482710936376704866112588441870588400389958049035965690400, 9685432367294173458168904994189692436865751017607104100886298173922080)"
"(6, 12)","(-123498611410240846429191039707545548156833858548878308049856346116668942, 55230258048025940012273533148590524058969441082483339591484068132243688)"
"(7, -15)","(-125115143110710096342860176443126938205656612464141539992749084365650436135, -55953193002032454310869313729764523735719829136207946067286893662335932481)"
"(7, -13)","(72896347650372991948733007255123898931182885751114060265313515312579285666, 32600237731538216572751640236794520443887022272474587559923913138520023502)"
"(7, -11)","(-4431659343620081740165460918086540885699246118670941704290700493549688600, -1981898309091320342248636069044953486908067288677617196888628530978588400)"
"(7, -9)","(-232313651067273508279084765216040903570308499903624242862164865754072525, -103893823177518026740314272342755600081397852391939851043026386942884425)"
"(7, -7)","(8761806322797909381945562209865784986577869036034008795831265773189185, 3918398908692717120880583244864611564705239159220159168119252339927755)"
"(7, -5)","(-307272193909360135235505784166360501788661724497300266020504110786940, -137416302636486947357631494412026904516177556245042963031411910162172)"
"(7, -3)","(17691901293994344085149566389546149724035649615241618772228968666058, 7912057928431797880820362621330516242501219327742766158961485454746)"
"(7, -1)","(116076912740693709729634488003167221052456023906318487422611601875, 52163062955379784882370334318502823394849085561641924507557155075)"
"(7, 1)","(-116076912740693709729634488003167221052456023906318487422611601875, 52163062955379784882370334318502823394849085561641924507557155075)"
"(7, 3)","(-17691901293994344085149566389546149724035649615241618772228968666058, 7912057928431797880820362621330516242501219327742766158961485454746)"
"(7, 5)","(307272193909360135235505784166360501788661724497300266020504110786940, -137416302636486947357631494412026904516177556245042963031411910162172)"
"(7, 7)","(-8761806322797909381945562209865784986577869036034008795831265773189185, 3918398908692717120880583244864611564705239159220159168119252339927755)"
"(7, 9)","(232313651067273508279084765216040903570308499903624242862164865754072525, -103893823177518026740314272342755600081397852391939851043026386942884425)"
"(7, 11)","(4431659343620081740165460918086540885699246118670941704290700493549688600, -1981898309091320342248636069044953486908067288677617196888628530978588400)"
"(7, 13)","(-72896347650372991948733007255123898931182885751114060265313515312579285666, 32600237731538216572751640236794520443887022272474587559923913138520023502)"
"(7, 15)","(125115143110710096342860176443126938205656612464141539992749084365650436135, -55953193002032454310869313729764523735719829136207946067286893662335932481)"
"(8, -16)","(-5396448741029442081475341444817730575098057963637931807869297219485901628400, -2413365244406998186106001646867060341110262103777012046241525727145718497600)"
"(8, -14)","(-3102191757099297631419324843775951779352275750535673609631880926714480336900, -1387342329622709063858480065901752410022780915875948505296591649728068146700)"
"(8, -12)","(47872000445507196556856222383313863063574534591236191849135272195187782952, 21409009443010861662598145394042227481505923233031685320244773229849447264)"
"(8, -10)","(9580800116226420023853409034212559272151946383104948541329441908457548720, 4284664067744032215663168032221887541087616813234237125377875026567565112)"
"(8, -8)","(232107238380056909241465971577690946707737364478211949593136382135760448, 103801512617511056104138668940732251143374524679880868610671278742541504)"
"(8, -6)","(-142933943545145758083184019210305028075004920295503582575256032596129000, -63922002811951160261034603485983538122983339016085516344497155555068800)"
"(8, -4)","(-9603698285416473007341671029573321858911686855631055689084955438925400, -4294904348144459675853095383399417876634084346043629143896208435122400)"
