"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)","(141020317789582299034279306539232486367013137386, 63066203357225780977342628967737512483165409088)"
"(1, 1)","(-141020317789582299034279306539232486367013137386, 63066203357225780977342628967737512483165409088)"
"(2, -4)","(-16296530471430370606329853937842886446178312976563845223189757529066, -7288029986303000622979058532117791923269571230091963938706344160704)"
"(2, -2)","(2415536109209057499448588479541379441438030749780779581853980, 1080260588459361666292439211881537937632449754983181218131840)"
"(2, 0)","(0, 12451701473491458414824337548424862046808865068747840)"
"(2, 2)","(-2415536109209057499448588479541379441438030749780779581853980, 1080260588459361666292439211881537937632449754983181218131840)"
"(2, 4)","(16296530471430370606329853937842886446178312976563845223189757529066, -7288029986303000622979058532117791923269571230091963938706344160704)"
"(3, -5)","(-1608781896497806109631847653864844243702931129393302515610041243055411200, -719469136308025061628387793825613991805535617710910365728423863464037440)"
"(3, -3)","(-1582430198800034595158847570591938645257399738674408677584990052103360, -707684298833076698662519437414069466575109908358625190648302402426880)"
"(3, -1)","(-387672676784112233193756548440526482695123654876981073457164288968, -173372481577806559570308912666141332515871085138155331964192047552)"
"(3, 1)","(387672676784112233193756548440526482695123654876981073457164288968, -173372481577806559570308912666141332515871085138155331964192047552)"
"(3, 3)","(1582430198800034595158847570591938645257399738674408677584990052103360, -707684298833076698662519437414069466575109908358625190648302402426880)"
"(3, 5)","(1608781896497806109631847653864844243702931129393302515610041243055411200, -719469136308025061628387793825613991805535617710910365728423863464037440)"
"(4, -8)","(-279143164797730976368389654025779782335716920443454643849315531943735694630916380, -124836618388430559221450751887128555462031337003930990608093254223407522350894720)"
"(4, -6)","(-1302858957279025364362687034013341797034053629980959436156572297875430457283528, -582656238714079030748923628770141773672041874078802162992407245523312462692416)"
"(4, -4)","(-2368035883015117503535244791894493246170947496109981492547673211222851751736, -1059017841516108478302771848376520661885542244028719121088572647888781573888)"
"(4, -2)","(-450472339539823249233794726289577829517745160657103746249283203395203080, -201457356649970870019096338874997046486626558553383933646917336728454080)"
"(4, 0)","(0, -1480613744438412812805038082467291041717766716565649090926098708972800)"
"(4, 2)","(450472339539823249233794726289577829517745160657103746249283203395203080, -201457356649970870019096338874997046486626558553383933646917336728454080)"
"(4, 4)","(2368035883015117503535244791894493246170947496109981492547673211222851751736, -1059017841516108478302771848376520661885542244028719121088572647888781573888)"
"(4, 6)","(1302858957279025364362687034013341797034053629980959436156572297875430457283528, -582656238714079030748923628770141773672041874078802162992407245523312462692416)"
"(4, 8)","(279143164797730976368389654025779782335716920443454643849315531943735694630916380, -124836618388430559221450751887128555462031337003930990608093254223407522350894720)"
"(5, -11)","(1883252779238012336547165277774687558654153881963964375417459415818789535981970607950826, 842216246638320036336232354782927170097227803461874368357187594319582884384130223819840)"
"(5, -9)","(44800065022193502049388707320548542289726392154719870163063857115680900563734470882248, 20035198157207059025335058294374813608379170681107995339879810043249497512275246777280)"
"(5, -7)","(259836217050739541064698183900341978867497191469847113952362111835242843743582896120, 116202288868368707195669072838688280724969797303725178360023011360327805914438398400)"
"(5, -5)","(971838636298982998640314372292412668750017176169404800256945542085848050817628250, 434619450785044123576801245767450872734733106491525401555844217342233396504776000)"
"(5, -3)","(2456925737363706833144838515314874706717935193647445195221152123230432723654420, 1098770592848587024807539524962179456598195728229394886841999620103545630393600)"
