numerator,17*x-38
denominator,24000
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",-1292*x-2889
"(1, 1)",1
"(2, -4)",7465176*x+16692641
"(2, -2)",3242920*x+7251390
"(2, 0)",141780*x+316920
"(2, 2)",-2510
"(2, 4)",1292*x-2889
"(3, -5)",-819063060*x-1831480680
"(3, -3)",-9534960*x-21320820
"(3, -1)",58085652*x+129885792
"(3, 1)",-2994636*x-6741168
"(3, 3)",7380
"(3, 5)",-141780*x+316920
"(4, -8)",-18737591760*x-41898528910
"(4, -6)",17361092460*x+38820582912
"(4, -4)",-2720688432*x-6083644644
"(4, -2)",585059220*x+1308247760
"(4, 0)",-355867800*x-795469200
"(4, 2)",-20019340*x-45217440
"(4, 4)",2105796
"(4, 6)",2994636*x-6741168
"(4, 8)",-3242920*x+7251390
"(5, -11)",-43133785636*x-96450076809
"(5, -9)",-335621891892*x-750473365008
"(5, -7)",116256805740*x+259958120560
"(5, -5)",26779897700*x+59881675275
"(5, -3)",17035716660*x+38093157690
"(5, -1)",-3427688232*x-7665653888
"(5, 1)",1433521048*x+3208103712
"(5, 3)",-174304740*x-402942810
"(5, 5)",-20727475
"(5, 7)",20019340*x-45217440
"(5, 9)",-58085652*x+129885792
"(5, 11)",-7465176*x+16692641
"(6, -12)",55092998880*x+123191690580
"(6, -10)",2055848280600*x+4597016506800
"(6, -8)",1024168504380*x+2290110398490
"(6, -6)",23932749600*x+53515258200
"(6, -4)",-192438807960*x-430306353708
"(6, -2)",-145794986520*x-326013337920
"(6, 0)",1046336400*x+2338869600
"(6, 2)",7516536360*x+16920331680
"(6, 4)",92794296*x+356440812
"(6, 6)",-18523800
"(6, 8)",174304740*x-402942810
"(6, 10)",355867800*x-795469200
"(6, 12)",9534960*x-21320820
"(7, -15)",4732546218900*x+10582295052120
"(7, -13)",-3380492192500*x-7559010339840
"(7, -11)",-8286312303576*x-18528757594048
"(7, -9)",-728604250248*x-1629208658028
"(7, -7)",-1577882261200*x-3528252207900
"(7, -5)",-1904822840160*x-4259308422960
"(7, -3)",702883612500*x+1571703038880
"(7, -1)",-71363227156*x-159592009968
"(7, 1)",24513624972*x+54869369792
"(7, 3)",-9569720460*x-21942574320
"(7, 5)",-6702757920*x-13513502160
"(7, 7)",1221271100
"(7, 9)",-92794296*x+356440812
"(7, 11)",-1433521048*x+3208103712
"(7, 13)",-585059220*x+1308247760
"(7, 15)",819063060*x-1831480680
"(8, -16)",15720137760096*x+35151296647236
"(8, -14)",19806616125544*x+44288940061152
"(8, -12)",-43576342074600*x-97439663109120
"(8, -10)",36823712421600*x+82340323903440
"(8, -8)",-6772864363360*x-15144586026120
"(8, -6)",1766560218192*x+3950140821552
"(8, -4)",-1468498642200*x-3283701877600
"(8, -2)",1344883114600*x+3007138811040
"(8, 0)",298559756880*x+667368868320
"(8, 2)",143974215720*x+320895221440
"(8, 4)",50248543400*x+113495774400
"(8, 6)",10528911504*x+22176056592
"(8, 8)",5242155080
"(8, 10)",6702757920*x-13513502160
"(8, 12)",-7516536360*x+16920331680
"(8, 14)",3427688232*x-7665653888
"(8, 16)",2720688432*x-6083644644
"(9, -19)",-100312389239244*x-224305321324368
"(9, -17)",-98432545166220*x-220101862190010
"(9, -15)",-6044685382800*x-13516327418400
"(9, -13)",55996728430380*x+125212491382080
"(9, -11)",-59069490451920*x-132083395810128
"(9, -9)",40473961010028*x+90502533558801
"(9, -7)",11591359034040*x+25919105848470
"(9, -5)",-12755457876000*x-28522021210800
"(9, -3)",428672111760*x+958557144960
"(9, -1)",2441896342500*x+5460032898402
"(9, 1)",276028747116*x+615329066622
"(9, 3)",-22100413680*x-49749819840
"(9, 5)",-66399410400*x-138600958800
"(9, 7)",-48506881680*x-117436331430
"(9, 9)",-31326595209
"(9, 11)",-10528911504*x+22176056592
"(9, 13)",9569720460*x-21942574320
"(9, 15)",-1046336400*x+2338869600
"(9, 17)",-17035716660*x+38093157690
"(9, 19)",-17361092460*x+38820582912
"(10, -22)",108265801946360*x+242089692790590
"(10, -20)",-154734248910600*x-345996299011475
"(10, -18)",842410948648920*x+1883688146170080
"(10, -16)",-141711088315372*x-316875626648208
"(10, -14)",-291804582407400*x-652494882605600
"(10, -12)",291864121381080*x+652628017154070
"(10, -10)",-67217543227000*x-150303004940250
"(10, -8)",138287821051620*x+309221075713880
"(10, -6)",-42759648816600*x-95613825801900
"(10, -4)",15686130865552*x+35076538903203
"(10, -2)",8603497462320*x+19240791258880
"(10, 0)",3984110157000*x+8905657998000
"(10, 2)",-3598137830480*x-8052340317120
"(10, 4)",-1656192358548*x-3715499887547
"(10, 6)",437504897400*x+1011386453100
"(10, 8)",-114804202780*x-363743934120
"(10, 10)",52025962250
"(10, 12)",48506881680*x-117436331430
"(10, 14)",-50248543400*x+113495774400
"(10, 16)",-24513624972*x+54869369792
"(10, 18)",145794986520*x-326013337920
"(10, 20)",-26779897700*x+59881675275
"(10, 22)",18737591760*x-41898528910
"(11, -23)",-671731803546380*x-1502037975378240
"(11, -21)",1111911525187176*x+2486309755284012
"(11, -19)",412361240132340*x+922067764225312
"(11, -17)",-830538135315560*x-1857139728291360
"(11, -15)",370900335415200*x+829358361157200
"(11, -13)",801626504714460*x+1792491375631480
"(11, -11)",-780525807133248*x-1745308867498416
"(11, -9)",-133932013735740*x-299481261683568
"(11, -7)",-280733137036380*x-627737643748880
"(11, -5)",-112369889802600*x-251265265531200
"(11, -3)",36236529556500*x+81023453410800
"(11, -1)",-16479980925624*x-36837867154928
"(11, 1)",-16140529960760*x-36078568944048
"(11, 3)",5032081974900*x+11224031188800
"(11, 5)",-1888573401000*x-4136005159200
"(11, 7)",-997174548860*x-2012464500480
"(11, 9)",202412616996*x+556270947552
"(11, 11)",604122141744
"(11, 13)",114804202780*x-363743934120
"(11, 15)",66399410400*x-138600958800
"(11, 17)",-143974215720*x+320895221440
"(11, 19)",71363227156*x-159592009968
"(11, 21)",192438807960*x-430306353708
"(11, 23)",-116256805740*x+259958120560
"(12, -26)",1939223233266324*x+4336234973130432
"(12, -24)",-138283427188800*x-309211143355800
"(12, -22)",-4061271082745460*x-9081278216074320
"(12, -20)",-1724779715495760*x-3856724690021280
"(12, -18)",128124862354800*x+286495901890560
"(12, -16)",-2570662945993800*x-5748177100209900
"(12, -14)",-1303472114738628*x-2914652273271888
"(12, -12)",-20078680628160*x-44897297472720
"(12, -10)",909156434819520*x+2032935299334240
"(12, -8)",483021407979600*x+1080068947807080
"(12, -6)",4317737043600*x+9654868468800
"(12, -4)",122316533638992*x+273512981250432
"(12, -2)",-84772195266780*x-189585717766560
"(12, 0)",-2626304364000*x-5870562696000
"(12, 2)",37875228668100*x+84757204193040
"(12, 4)",-6306092510256*x-14195524609728
"(12, 6)",-147742729200*x-333704707200
"(12, 8)",-232913682960*x-894666438120
"(12, 10)",533453755200*x+489157479840
"(12, 12)",15540774480
"(12, 14)",-202412616996*x+556270947552
"(12, 16)",-437504897400*x+1011386453100
"(12, 18)",22100413680*x-49749819840
"(12, 20)",-298559756880*x+667368868320
"(12, 22)",-702883612500*x+1571703038880
"(12, 24)",-23932749600*x+53515258200
"(12, 26)",335621891892*x-750473365008
"(13, -29)",249227005939632*x+557288527109761
"(13, -27)",-5917645444002900*x-13232257479532410
"(13, -25)",11006059667686560*x+24610297581365040
"(13, -23)",-7770590661943080*x-17375568945410560
"(13, -21)",-1592452204493748*x-3560831379840318
"(13, -19)",9585165578555896*x+21433081811343363
"(13, -17)",5480941406276700*x+12255757527522320
"(13, -15)",-2173139362726080*x-4859287217849760
"(13, -13)",2427653067051080*x+5428397608909110
"(13, -11)",-172146101392188*x-384932132451538
"(13, -9)",345964932750144*x+773598742463712
"(13, -7)",-157278188965600*x-351676916859600
"(13, -5)",79944546613680*x+178745098573440
"(13, -3)",270363507840960*x+604571540871120
"(13, -1)",221276287521212*x+494830531788192
"(13, 1)",-53852421562596*x-120588949057168
"(13, 3)",-26256652953600*x-58920924064080
"(13, 5)",21127810037040*x+47181345704640
"(13, 7)",-10111339015200*x-22487910391600
"(13, 9)",3115452050112*x+6698588266272
"(13, 11)",2228205355964*x+5115658958802
"(13, 13)",-1878988441990
"(13, 15)",-533453755200*x+489157479840
"(13, 17)",997174548860*x-2012464500480
"(13, 19)",1656192358548*x-3715499887547
"(13, 21)",-276028747116*x+615329066622
"(13, 23)",-1344883114600*x+3007138811040
"(13, 25)",1904822840160*x-4259308422960
"(13, 27)",-1024168504380*x+2290110398490
"(13, 29)",43133785636*x-96450076809
"(14, -30)",-11878691009439000*x-26561560580821200
"(14, -28)",9117003705213600*x+20386240035975100
"(14, -26)",8485035403175000*x+18973115952998400
"(14, -24)",-14109001038217884*x-31548685416033378
"(14, -22)",20798643881975760*x+46507181561060480
"(14, -20)",10799807221175400*x+24149103075388800
"(14, -18)",1828796668122480*x+4089313731650280
"(14, -16)",-13046716648152180*x-29173345331506418
"(14, -14)",3960484475612000*x+8855913041829000
"(14, -12)",-5226712315388160*x-11687285089160880
"(14, -10)",4781105328801600*x+10690864141629600
"(14, -8)",-721110641274860*x-1612449429572610
"(14, -6)",-1764237867375000*x-3944974627588800
"(14, -4)",-390222027519624*x-872528581987988
"(14, -2)",179121700161560*x+400575945019680
"(14, 0)",173151816558000*x+387045237012000
"(14, 2)",-61529198679720*x-137722118177920
"(14, 4)",-44509575713240*x-99224413473708
"(14, 6)",24019998354600*x+55075861543200
"(14, 8)",-3979635258420*x-8340600325310
"(14, 10)",16823922379200*x+33918890421600
"(14, 12)",456039462720*x+5065178268720
"(14, 14)",-3065390461000
"(14, 16)",-2228205355964*x+5115658958802
"(14, 18)",232913682960*x-894666438120
"(14, 20)",1888573401000*x-4136005159200
"(14, 22)",3598137830480*x-8052340317120
"(14, 24)",-2441896342500*x+5460032898402
"(14, 26)",1468498642200*x-3283701877600
"(14, 28)",1577882261200*x-3528252207900
"(14, 30)",-2055848280600*x+4597016506800
"(15, -33)",-318327337993680*x-711801566850420
"(15, -31)",4209875265138648*x+9413567269644972
"(15, -29)",-10207174411801872*x-22823935842984048
"(15, -27)",-2476889562162960*x-5538493433759040
"(15, -25)",-23016204376989000*x-51465797570442000
"(15, -23)",-29039133121415700*x-64933475662297200
"(15, -21)",857975226361200*x+1918490929732800
"(15, -19)",-17655117012796992*x-39478041744983328
"(15, -17)",-7861708330984320*x-17579314947503280
"(15, -15)",197635645026000*x+441926763529500
"(15, -13)",8324808746500680*x+18614835755361120
"(15, -11)",2973764637942588*x+6649546911440832
"(15, -9)",125723588950800*x+281127503752200
"(15, -7)",-1965218754588660*x-4394372727288240
"(15, -5)",-1203968899688700*x-2692204506535200
"(15, -3)",-25296339152160*x-56572525693440
"(15, -1)",-45886179971472*x-102564103477188
"(15, 1)",-52352245055712*x-117027670112988
"(15, 3)",10579385334240*x+23675805394560
"(15, 5)",62071242824100*x+139727391190800
"(15, 7)",12581649767340*x+29654492981760
"(15, 9)",-1286368981200*x-2973717937800
"(15, 11)",-8570565418212*x-21466043445168
"(15, 13)",4672713897480*x+4005156117120
"(15, 15)",-152968765500
"(15, 17)",-456039462720*x+5065178268720
"(15, 19)",-3115452050112*x+6698588266272
"(15, 21)",147742729200*x-333704707200
"(15, 23)",-5032081974900*x+11224031188800
"(15, 25)",-3984110157000*x+8905657998000
"(15, 27)",-428672111760*x+958557144960
"(15, 29)",-1766560218192*x+3950140821552
"(15, 31)",728604250248*x-1629208658028
"(15, 33)",-55092998880*x+123191690580
