numerator,-17*x+38
denominator,80
"(v, u)","a(v, u)"
"(0, 0)",0
"(1, -1)",1292*x+2889
"(1, 1)",1
"(2, -4)",7465176*x+16692641
"(2, -2)",6408320*x+14329440
"(2, 0)",-491340*x-1099050
"(2, 2)",4960
"(2, 4)",-1292*x+2889
"(3, -5)",-2839453860*x-6349211850
"(3, -3)",-4255034040*x-9514545930
"(3, -1)",-405164892*x-905988072
"(3, 1)",-15216036*x-34337688
"(3, 3)",-3293370
"(3, 5)",491340*x-1099050
"(4, -8)",37027272960*x+82795499360
"(4, -6)",-88323420900*x-197497173192
"(4, -4)",162179778048*x+362645030016
"(4, -2)",-68962723380*x-154207005640
"(4, 0)",-30508406400*x-68242488000
"(4, 2)",-2143442060*x-4846259160
"(4, 4)",125526144
"(4, 6)",15216036*x-34337688
"(4, 8)",-6408320*x+14329440
"(5, -11)",43133785636*x+96450076809
"(5, -9)",-2341057962012*x-5234764742328
"(5, -7)",-12453770946060*x-27847478420840
"(5, -5)",2738534666500*x+6123550039875
"(5, -3)",2111130923340*x+4720621685010
"(5, -1)",-142387754688*x-318644152352
"(5, 1)",-330021545152*x-738060860448
"(5, 3)",-14020496340*x-29716782510
"(5, 5)",2119608875
"(5, 7)",2143442060*x-4846259160
"(5, 9)",405164892*x-905988072
"(5, 11)",-7465176*x+16692641
"(6, -12)",-24585586683120*x-54975043090170
"(6, -10)",-176308080585600*x-394236853176000
"(6, -8)",-78899296929180*x-176424191027790
"(6, -6)",-127046281478400*x-284084138692800
"(6, -4)",-8469646085400*x-18938746106538
"(6, -2)",19272905335680*x+43094641562880
"(6, 0)",7850006335800*x+17559224698500
"(6, 2)",-1146615538560*x-2548993332480
"(6, 4)",-52428926496*x-123790104282
"(6, 6)",-98333035200
"(6, 8)",14020496340*x-29716782510
"(6, 10)",30508406400*x-68242488000
"(6, 12)",4255034040*x-9514545930
"(7, -15)",-16406363911740*x-36685744970250
"(7, -13)",-398468759131700*x-891003232328760
"(7, -11)",-1907006875642944*x-4264197007516192
"(7, -9)",-311403983379288*x-696320476434858
"(7, -7)",927672540377800*x+2074338985411350
"(7, -5)",396468702387720*x+886530119637600
"(7, -3)",-145492287213300*x-325325933519880
"(7, -1)",22098089131756*x+49416897263238
"(7, 1)",5251762460412*x+11760402350822
"(7, 3)",6111651538740*x+13553458984680
"(7, 5)",-1166626343880*x-2301791644800
"(7, 7)",718012802150
"(7, 9)",52428926496*x-123790104282
"(7, 11)",330021545152*x-738060860448
"(7, 13)",68962723380*x-154207005640
"(7, 15)",2839453860*x-6349211850
"(8, -16)",937074757561344*x+2095362857906304
"(8, -14)",-823046468132416*x-1840387851429408
"(8, -12)",-6605871676464000*x-14771178116632320
"(8, -10)",-6344298312550920*x-14186282243292000
"(8, -8)",4276270143324160*x+9562031303454720
"(8, -6)",5253306386896008*x+11746753148671488
"(8, -4)",2125554837955200*x+4752860457785600
"(8, -2)",-677620455766000*x-1515173866688160
"(8, 0)",-367092412392960*x-821127764563200
"(8, 2)",40860946871280*x+90843386265760
"(8, 4)",-32215393577600*x-70390647993600
"(8, 6)",2916340995384*x+10587163717152
"(8, 8)",3309806612480
"(8, 10)",1166626343880*x-2301791644800
"(8, 12)",1146615538560*x-2548993332480
"(8, 14)",142387754688*x-318644152352
"(8, 16)",-162179778048*x+362645030016
"(9, -19)",-510332710744164*x-1141138632365688
"(9, -17)",12198100454562180*x+27275781812770290
"(9, -15)",45365186614588200*x+101439641083234500
"(9, -13)",35167630303626420*x+78637211947000920
"(9, -11)",22103924658224760*x+49425878809032768
"(9, -9)",7975557010585188*x+17833888702461771
"(9, -7)",-3883386359243160*x-8683521854024430
"(9, -5)",11929020929477400*x+26674009638600000
"(9, -3)",-3390362250033960*x-7580858076117360
"(9, -1)",275520449256540*x+615785760498498
"(9, 1)",-383375338084644*x-857040117087678
"(9, 3)",287906004481320*x+641153316328560
"(9, 5)",-121012189008600*x-261358508604000
"(9, 7)",-7043546074320*x-18755565764670
"(9, 9)",6173031741939
"(9, 11)",-2916340995384*x+10587163717152
"(9, 13)",-6111651538740*x+13553458984680
"(9, 15)",-7850006335800*x+17559224698500
"(9, 17)",-2111130923340*x+4720621685010
"(9, 19)",88323420900*x-197497173192
"(10, -22)",213943576754560*x+478392380972640
"(10, -20)",15823253303037000*x+35381870010788875
"(10, -18)",111357700414020480*x+249003387943653120
"(10, -16)",30366781585392292*x+67902187885786278
"(10, -14)",-184014989253417600*x-411470024564806400
"(10, -12)",-44580995576664120*x-99686137134238830
"(10, -10)",146152936681840000*x+326807921109780000
"(10, -8)",-20148493648804020*x-45053480487063130
"(10, -6)",-51449075198793600*x-115043394382190400
"(10, -4)",-18019168830266128*x-40292234741468007
"(10, -2)",-21075723317652480*x-47127468096465920
"(10, 0)",-5840771065455000*x-13064882646412500
"(10, 2)",-924115935953920*x-2082698655022080
"(10, 4)",-188535337821252*x-435524581885343
"(10, 6)",312707524713600*x+659414058590400
"(10, 8)",-98637890750180*x-236155851413370
"(10, 10)",113121468020000
"(10, 12)",7043546074320*x-18755565764670
"(10, 14)",32215393577600*x-70390647993600
"(10, 16)",-5251762460412*x+11760402350822
"(10, 18)",-19272905335680*x+43094641562880
"(10, 20)",-2738534666500*x+6123550039875
"(10, 22)",-37027272960*x+82795499360
"(11, -23)",-71957886382892620*x-160902725469354360
"(11, -21)",-48937667510367696*x-109427951213472282
"(11, -19)",127688010765746580*x+285519071984638342
"(11, -17)",235416930566489840*x+526408259710249440
"(11, -15)",-687279407162213400*x-1536803472352512000
"(11, -13)",-590078226403344060*x-1319455028979388730
"(11, -11)",-247367669598827712*x-553130957794901904
"(11, -9)",-13890602807605380*x-31060534968769128
"(11, -7)",229357750727768220*x+512860081686787720
"(11, -5)",-96289598082099600*x-215307888689506500
"(11, -3)",-73689919454795700*x-164768140513063050
"(11, -1)",-2710810609412616*x-6075970917632672
"(11, 1)",-18622574988364600*x-41643444235290048
"(11, 3)",9739762027316700*x+21721735741070550
"(11, 5)",2856672343346400*x+6313186379137500
"(11, 7)",683686807346660*x+1706291747021880
"(11, 9)",-259668477770556*x-591387643255992
"(11, 11)",-191461044581136
"(11, 13)",98637890750180*x-236155851413370
"(11, 15)",121012189008600*x-261358508604000
"(11, 17)",-40860946871280*x+90843386265760
"(11, 19)",-22098089131756*x+49416897263238
"(11, 21)",8469646085400*x-18938746106538
"(11, 23)",12453770946060*x-27847478420840
"(12, -26)",-13526632499340444*x-30246469775183112
"(12, -24)",-734073414382195200*x-1641438055033963200
"(12, -22)",-840648323866908660*x-1879746797336851320
"(12, -20)",-2121427051218915840*x-4743655095881606400
"(12, -18)",1660130531643033000*x+3712164719822537040
"(12, -16)",1755375002596387200*x+3925137824917521600
"(12, -14)",-1514255067365877948*x-3385977267764352648
"(12, -12)",-1686759497153141760*x-3771709123278193920
"(12, -10)",484240220439025920*x+1082795019834292800
"(12, -8)",340371869435616000*x+761095405200371520
"(12, -6)",-320689643696249400*x-717074713514113200
"(12, -4)",180695065839063552*x+404035976123845632
"(12, -2)",-129787659367862580*x-290201210735432760
"(12, 0)",177656832564768000*x+397390283368560000
"(12, 2)",16583643575867700*x+36981701727023160
"(12, 4)",-13564057046045184*x-30190298560515072
"(12, 6)",11850778230262200*x+26250935498089200
"(12, 8)",932719385379840*x+2349069793961280
"(12, 10)",1168777560414720*x+2988265164456000
"(12, 12)",-1305541406465280
"(12, 14)",259668477770556*x-591387643255992
"(12, 16)",-312707524713600*x+659414058590400
"(12, 18)",-287906004481320*x+641153316328560
"(12, 20)",367092412392960*x-821127764563200
"(12, 22)",145492287213300*x-325325933519880
"(12, 24)",127046281478400*x-284084138692800
"(12, 26)",2341057962012*x-5234764742328
"(13, -29)",249227005939632*x+557288527109761
"(13, -27)",-455880123636305700*x-1019378946041788110
"(13, -25)",2290794995769902280*x+5122373333057697600
"(13, -23)",-3915250132469076720*x-8754765445110454240
"(13, -21)",-2214867183003816492*x-4952593582293101982
"(13, -19)",-1107376350761460184*x-2476168799392043847
"(13, -17)",4179700123576769700*x+9346093632605634920
"(13, -15)",7237436964515278080*x+16183401100392475200
"(13, -13)",1921747632391156120*x+4297158599054218290
"(13, -11)",-517153430129222412*x-1156392463407446302
"(13, -9)",2768232380615862144*x+6189956062000727232
"(13, -7)",1301232750127852600*x+2909647576090778400
"(13, -5)",-309518546883853320*x-692119430174144700
"(13, -3)",420766436952647040*x+940964271153992880
"(13, -1)",-1976667613181492*x-4225680229647672
"(13, 1)",251013877776538164*x+561282597700313912
"(13, 3)",131601974761502400*x+294596649785551920
"(13, 5)",-19221837542710920*x-43220903411591100
"(13, 7)",3253189919531400*x+8281500331001600
"(13, 9)",-115494286150272*x+1884341631523008
"(13, 11)",-2803079097073916*x-6668149335584958
"(13, 13)",1487420768104610
"(13, 15)",-1168777560414720*x+2988265164456000
"(13, 17)",-683686807346660*x+1706291747021880
"(13, 19)",188535337821252*x-435524581885343
"(13, 21)",383375338084644*x-857040117087678
"(13, 23)",677620455766000*x-1515173866688160
"(13, 25)",-396468702387720*x+886530119637600
"(13, 27)",78899296929180*x-176424191027790
"(13, 29)",-43133785636*x+96450076809
"(14, -30)",-1018708059115190400*x-2277900469408440000
"(14, -28)",5360091938302928400*x+11985529939693978150
"(14, -26)",12281423638311568000*x+27462098115733190400
"(14, -24)",1591573780466203476*x+3558867164277409122
"(14, -22)",-5360617601259402240*x-11986705360621112320
"(14, -20)",16409563201773399600*x+36692898787345981500
"(14, -18)",5729624478160331520*x+12811829864307904320
"(14, -16)",-16713344453022309060*x-37372174397602441022
"(14, -14)",3030790371534688000*x+6777053702293896000
"(14, -12)",-1546276899445080960*x-3457583899884872880
"(14, -10)",6580163260061971200*x+14713687756192896000
"(14, -8)",-1022415980171570140*x-2286253699205552190
"(14, -6)",3465622233977232000*x+7749447383695315200
"(14, -4)",-3713663307728711304*x-8303908537267431818
"(14, -2)",-1609588381287290240*x-3598970358506339520
"(14, 0)",-260408090870781000*x-582491782210957500
"(14, 2)",231130348790843520*x+515577391080077120
"(14, 4)",123465878725048400*x+273203761864501638
"(14, 6)",103385774123990400*x+233860002846892800
"(14, 8)",-80012657907295020*x-179705096497172510
"(14, 10)",-7077317813164800*x-10732359057408000
"(14, 12)",-4436154416867520*x-11116352174748720
"(14, 14)",2345812981064000
"(14, 16)",2803079097073916*x-6668149335584958
"(14, 18)",-932719385379840*x+2349069793961280
"(14, 20)",-2856672343346400*x+6313186379137500
"(14, 22)",924115935953920*x-2082698655022080
"(14, 24)",-275520449256540*x+615785760498498
"(14, 26)",-2125554837955200*x+4752860457785600
"(14, 28)",-927672540377800*x+2074338985411350
"(14, 30)",176308080585600*x-394236853176000
"(15, -33)",-142055515600033320*x-317645789460456330
"(15, -31)",-1799292163536599568*x-4023339589050505242
"(15, -29)",30353607219826129608*x+67872729105860140512
"(15, -27)",-19589225174691739560*x-43802839117122434640
"(15, -25)",-33753815987264445000*x-75475827048325012500
"(15, -23)",56202655074381096900*x+125672957252418700950
"(15, -21)",68153106970758742200*x+152394980021473510800
"(15, -19)",2100906395239590528*x+4697769884939212992
"(15, -17)",-27178377120105611520*x-60772698965813231280
"(15, -15)",-38449504566003105000*x-85975711061287128750
"(15, -13)",-16258005281088397680*x-36354006440954682720
"(15, -11)",-2708263387232790228*x-6055870105058722632
"(15, -9)",6793567927440064200*x+15190850663883096300
"(15, -7)",-7075434556826034660*x-15821248672514836890
"(15, -5)",5053493844038383500*x+11299701160664661000
"(15, -3)",4990960131733618560*x+11160845560409106240
"(15, -1)",-2040796589037735288*x-4563977689486210602
"(15, 1)",-797829086166850752*x-1785579741892468698
"(15, 3)",928643470141242240*x+2080373022732029760
"(15, 5)",-329815848147919500*x-733579327751781000
"(15, 7)",-122850218755129140*x-280177799179871610
"(15, 9)",-38684637385054200*x-81243304549521300
"(15, 11)",-11250020338671852*x-27251990824810968
"(15, 13)",935350930823280*x-10492087029365280
"(15, 15)",-29759678456658750
"(15, 17)",4436154416867520*x-11116352174748720
"(15, 19)",115494286150272*x+1884341631523008
"(15, 21)",-11850778230262200*x+26250935498089200
"(15, 23)",-9739762027316700*x+21721735741070550
"(15, 25)",5840771065455000*x-13064882646412500
"(15, 27)",3390362250033960*x-7580858076117360
"(15, 29)",-5253306386896008*x+11746753148671488
"(15, 31)",311403983379288*x-696320476434858
"(15, 33)",24585586683120*x-54975043090170
